hostid              PageRank              outdegree              indegree
7565              4.916227E-4              47                         452
2931              4.9125915E-4              5                         132
9762              4.9077364E-4              68                         180
10311              4.90384E-4              73                         684
8626              4.892103E-4              276                         636
8491              4.8741873E-4              0                         256
1641              4.8715944E-4              52                         108
5628              4.849023E-4              390                         526
7786              4.8423765E-4              189                         405
8398              4.8410465E-4              168                         412
3970              4.8175946E-4              98                         300
4798              4.8069344E-4              1046                         743
3339              4.788967E-4              0                         123
4287              4.7829215E-4              80                         357
8298              4.773392E-4              96                         563
2938              4.7577758E-4              686                         514
5302              4.7507157E-4              14                         532
8598              4.7383673E-4              618                         677
10884              4.7350794E-4              541                         662
10994              4.726442E-4              368                         779
7793              4.724439E-4              686                         689
7342              4.7214085E-4              527                         194
8300              4.7167335E-4              125                         467
4625              4.711396E-4              77                         530
8942              4.6899705E-4              153                         618
10902              4.6877004E-4              130                         559
8903              4.6864297E-4              23                         378
5711              4.6631726E-4              20                         199
2082              4.659141E-4              215                         175
11058              4.6524272E-4              226                         644
10528              4.6277008E-4              470                         510
3793              4.5973287E-4              3                         36
5470              4.5967035E-4              46                         386
8994              4.5764644E-4              64                         562
4975              4.5676695E-4              425                         702
7804              4.56319E-4              1090                         882
11171              4.5559584E-4              100                         364
6391              4.554996E-4              52                         276
3894              4.5366053E-4              5                         29
3420              4.532563E-4              26                         181
9475              4.492052E-4              81                         436
7009              4.473761E-4              744                         484
8801              4.4649362E-4              129                         534
8704              4.461463E-4              120                         437
4335              4.4449963E-4              37                         377
6017              4.4403752E-4              741                         675
9428              4.396044E-4              3                         446
5997              4.3297073E-4              16                         281
5022              4.3132E-4              4                         49
8101              4.3111856E-4              655                         728
7615              4.3046966E-4              428                         693
7834              4.2990508E-4              28                         335
4617              4.2815882E-4              287                         583
5835              4.2765707E-4              4                         519
3792              4.2674234E-4              4                         31
10953              4.2672377E-4              252                         422
10788              4.2577393E-4              34                         327
7313              4.2510763E-4              381                         331
8859              4.2361266E-4              24                         229
7613              4.201895E-4              241                         184
8701              4.2013888E-4              15                         150
8361              4.1864542E-4              87                         194
4667              4.1813438E-4              153                         368
8290              4.1768598E-4              59                         398
9673              4.1751866E-4              1                         184
9240              4.1688952E-4              1                         489
6959              4.166842E-4              49                         262
10247              4.1531242E-4              158                         310
6681              4.141677E-4              199                         392
10516              4.1293417E-4              12                         260
10241              4.1188073E-4              820                         574
6610              4.0740686E-4              169                         440
7899              4.0394915E-4              65                         593
10303              4.0316666E-4              78                         536
5749              4.0290804E-4              1                         39
9544              4.0238714E-4              97                         510
4472              4.0048044E-4              51                         461
3590              3.9912388E-4              1133                         574
7065              3.9811776E-4              10                         213
5363              3.9659278E-4              320                         406
6843              3.9655337E-4              796                         654
7672              3.954409E-4              891                         341
4844              3.9486197E-4              742                         667
5691              3.943142E-4              90                         363
9401              3.924419E-4              93                         359
8605              3.9203424E-4              333                         332
10228              3.918312E-4              124                         392
7158              3.9080327E-4              7                         121
10446              3.9040105E-4              47                         408
8766              3.89672E-4              1                         124
8838              3.896648E-4              5                         338
6145              3.8900142E-4              193                         643
9658              3.887061E-4              60                         509
10672              3.8794224E-4              783                         579
5406              3.8786058E-4              66                         334
10102              3.866004E-4              620                         442
9589              3.8615832E-4              62                         99
5180              3.8615722E-4              577                         663
7611              3.846356E-4              52                         227
6000              3.835349E-4              1                         373
9800              3.832319E-4              1                         345
4299              3.828542E-4              3                         185
9328              3.815432E-4              212                         543
10406              3.8059131E-4              87                         477
5845              3.805088E-4              55                         439
9961              3.784492E-4              83                         263
10882              3.778685E-4              63                         216
10477              3.7683354E-4              24                         244
5301              3.7682368E-4              223                         480
7125              3.7656244E-4              32                         247
8239              3.7549125E-4              37                         236
5528              3.754667E-4              332                         213
10825              3.7481947E-4              187                         524
8736              3.742698E-4              17                         343
9873              3.7395261E-4              364                         398
4528              3.7378172E-4              134                         583
9348              3.7324725E-4              14                         518
10168              3.70884E-4              128                         322
4525              3.6993573E-4              606                         439
9777              3.6948055E-4              126                         113
9338              3.6871838E-4              677                         535
8724              3.674844E-4              128                         366
8980              3.669794E-4              81                         370
3378              3.6684674E-4              11                         87
7744              3.6509664E-4              935                         685
9730              3.649572E-4              69                         77
8841              3.648053E-4              8                         209
10961              3.6464634E-4              98                         283
6011              3.633545E-4              737                         588
3306              3.6118558E-4              1                         24
4416              3.5964575E-4              1                         83
9562              3.5629774E-4              18                         437
7262              3.5234142E-4              51                         324
4397              3.5198723E-4              1                         72
4089              3.5139796E-4              96                         466
7126              3.5023733E-4              293                         285
9012              3.499334E-4              82                         140
4783              3.4733812E-4              18                         366
10018              3.4726315E-4              1                         246
9620              3.4642647E-4              76                         278
9063              3.454035E-4              60                         160
6435              3.4361353E-4              36                         457
4300              3.431975E-4              3                         249
5243              3.4247586E-4              60                         76
9273              3.4205438E-4              933                         562
8348              3.4124433E-4              355                         516
4480              3.4021478E-4              8                         384
7881              3.3965486E-4              110                         576
9229              3.3947531E-4              1                         72
8712              3.3742795E-4              2                         536
10235              3.3731328E-4              412                         515
7734              3.3707928E-4              76                         567
8159              3.3603318E-4              238                         633
7343              3.3488648E-4              5                         334
9919              3.3314145E-4              104                         495
10358              3.3287948E-4              55                         472
8825              3.319705E-4              13                         310
8304              3.3186038E-4              94                         433
8593              3.305866E-4              64                         325
10117              3.3039143E-4              240                         417
9377              3.2597425E-4              123                         388
10955              3.2329911E-4              0                         316
4504              3.2321925E-4              926                         641
9435              3.231362E-4              100                         356
8500              3.2300246E-4              6                         277
8164              3.217512E-4              105                         364
8964              3.2164477E-4              2                         204
6443              3.2142055E-4              56                         372
2804              3.2104665E-4              1                         365
10409              3.202988E-4              58                         226
8923              3.2028503E-4              98                         275
4636              3.1976617E-4              43                         276
8148              3.1934647E-4              1                         256
7748              3.1921585E-4              16                         398
9766              3.1901748E-4              142                         284
8305              3.1899518E-4              92                         349
9208              3.1837518E-4              221                         451
3527              3.182018E-4              3                         55
2801              3.1756944E-4              190                         114
9371              3.1586178E-4              363                         381
8700              3.1445103E-4              402                         396
4306              3.142469E-4              590                         400
8620              3.13585E-4              222                         459
9921              3.1339063E-4              1                         424
8931              3.1289717E-4              188                         612
9666              3.1238777E-4              131                         409
4519              3.1232412E-4              65                         222
4623              3.121286E-4              112                         325
9391              3.1125228E-4              173                         340
5349              3.0874606E-4              507                         353
8062              3.0672326E-4              785                         336
4180              3.0618816E-4              111                         388
4468              3.0514513E-4              395                         415
4115              3.0507156E-4              25                         331
4804              3.0389323E-4              288                         468
6345              3.0358395E-4              585                         266
5980              3.0312492E-4              141                         253
8098              3.0296773E-4              399                         280
4082              3.028339E-4              61                         334
9361              3.0250635E-4              106                         231
7628              3.0223993E-4              1                         18
9320              3.003351E-4              2                         93
5111              2.996863E-4              16                         359
6960              2.9927611E-4              27                         310
10796              2.9864613E-4              326                         243
10821              2.9774872E-4              210                         435
8561              2.9752252E-4              1                         235
3190              2.9696204E-4              14                         106
4439              2.964422E-4              119                         269
9863              2.957929E-4              102                         144
5137              2.9577257E-4              64                         289
5442              2.9549032E-4              27                         249
11190              2.9478018E-4              75                         268
10966              2.9271183E-4              40                         377
4664              2.9265988E-4              529                         368
10180              2.9257685E-4              572                         514
4765              2.9134267E-4              18                         85
8576              2.9118816E-4              57                         416
10023              2.9077893E-4              526                         619
4348              2.9016563E-4              78                         420
8972              2.8991632E-4              116                         237
11174              2.8942927E-4              56                         387
6211              2.8881172E-4              57                         295
5805              2.880431E-4              65                         211
8144              2.8780557E-4              55                         109
4006              2.8771756E-4              95                         317
7882              2.8739922E-4              38                         263
4491              2.8728505E-4              119                         313
8847              2.871362E-4              39                         210
5144              2.867497E-4              64                         218
9162              2.8618012E-4              3                         58
8817              2.853888E-4              58                         419
9580              2.8535916E-4              21                         228
8651              2.851331E-4              20                         328
6961              2.8477635E-4              57                         314
7093              2.84699E-4              162                         414
8706              2.8405085E-4              102                         244
7665              2.8397786E-4              1065                         562
4958              2.8380036E-4              80                         377
8660              2.8346953E-4              1                         375
3875              2.832487E-4              391                         499
10664              2.8312707E-4              4                         77
9404              2.830959E-4              498                         578
7823              2.8278792E-4              225                         351
8108              2.8254068E-4              413                         191
4523              2.819801E-4              4                         154
2473              2.8159705E-4              9                         58
2192              2.8134798E-4              5                         64
6199              2.8059894E-4              68                         145
10760              2.7976985E-4              588                         408
9133              2.793598E-4              79                         364
4723              2.7873472E-4              234                         386
10973              2.785841E-4              1                         96
5348              2.7821952E-4              79                         303
8709              2.7748718E-4              31                         208
4145              2.7745552E-4              7                         84
7365              2.7651736E-4              430                         337
6295              2.7585306E-4              64                         284
10936              2.7567742E-4              40                         388
8393              2.7559372E-4              21                         177
5813              2.7512366E-4              37                         241
4195              2.7467357E-4              30                         367
8631              2.7418695E-4              93                         333
10742              2.7415622E-4              23                         373
8293              2.7369612E-4              118                         398
9011              2.728525E-4              19                         69
11148              2.7198228E-4              87                         291
6953              2.719505E-4              66                         388
7837              2.7178915E-4              468                         225
2089              2.711889E-4              42                         229
7003              2.7092217E-4              26                         365
9881              2.708716E-4              275                         467
11253              2.7071702E-4              149                         284
8720              2.704088E-4              166                         333
11364              2.6992447E-4              1046                         393
8566              2.695748E-4              156                         358
11177              2.6917236E-4              107                         334
5013              2.683121E-4              3                         275
9444              2.6814357E-4              20                         310
6838              2.680313E-4              21                         61
8699              2.6719636E-4              1                         187
4534              2.670079E-4              33                         396
4934              2.6649266E-4              1                         31
9008              2.655069E-4              169                         78
10189              2.654145E-4              45                         272
4771              2.6524466E-4              468                         482
5292              2.646917E-4              1                         233
10892              2.646882E-4              847                         466
10886              2.6395384E-4              654                         399
8747              2.6392692E-4              6                         181
7133              2.6382104E-4              16                         44
6376              2.6312133E-4              57                         370
8822              2.6308253E-4              57                         226
10284              2.6226614E-4              7                         209
8803              2.6197702E-4              7                         217
7785              2.6125758E-4              38                         154
5360              2.599633E-4              563                         435
5044              2.59829E-4              928                         409
990              2.5967433E-4              862                         532
10177              2.5967098E-4              36                         150
5004              2.5965754E-4              67                         29
4984              2.584573E-4              246                         230
6349              2.5835173E-4              711                         492
5596              2.5752062E-4              48                         290
10581              2.5723258E-4              0                         110
10716              2.5663924E-4              0                         117
1999              2.5650693E-4              230                         285
7279              2.5618568E-4              502                         433
10462              2.5596912E-4              18                         381
8142              2.5594654E-4              33                         260
11214              2.5578504E-4              71                         235
4381              2.5563937E-4              22                         325
7053              2.5538827E-4              244                         423
5192              2.5487415E-4              26                         220
10425              2.546395E-4              10                         391
10733              2.5463905E-4              1                         401
4709              2.543496E-4              426                         282
4806              2.5326124E-4              332                         392
9395              2.5320085E-4              97                         300
6455              2.5308627E-4              22                         59
11124              2.525581E-4              128                         300
8828              2.5169583E-4              1                         305
4782              2.5161874E-4              43                         163
7060              2.5100674E-4              18                         57
6224              2.5043043E-4              17                         65
10074              2.5035272E-4              17                         60
8819              2.5013217E-4              73                         336
7013              2.5003345E-4              1                         77
6288              2.49611E-4              16                         60
8970              2.4959963E-4              16                         57
8998              2.4898583E-4              219                         422
4315              2.4876863E-4              15                         58
11009              2.4822433E-4              19                         187
5497              2.4783355E-4              14                         60
8165              2.474275E-4              318                         350
6148              2.4735756E-4              185                         333
9649              2.470441E-4              25                         251
5321              2.468396E-4              55                         269
4358              2.46671E-4              0                         465
8794              2.465269E-4              22                         108
6606              2.4571223E-4              12                         60
4769              2.4559564E-4              110                         410
7320              2.4551485E-4              143                         324
8505              2.4527946E-4              32                         42
5995              2.4499267E-4              121                         323
5463              2.4484968E-4              17                         212
7145              2.447154E-4              37                         247
3961              2.4470454E-4              569                         468
11236              2.4470018E-4              0                         471
2791              2.4447727E-4              48                         307
7309              2.4436967E-4              303                         402
10043              2.4408099E-4              128                         189
4106              2.4403166E-4              251                         310
9363              2.4388418E-4              27                         428
7294              2.4367472E-4              977                         603
6642              2.434383E-4              26                         290
8601              2.433434E-4              1                         110
4696              2.4322963E-4              1                         27
10054              2.427372E-4              210                         446
11240              2.4233486E-4              33                         327
8617              2.4201188E-4              180                         205
5150              2.419108E-4              0                         354
11279              2.4182403E-4              50                         269
6841              2.3941076E-4              13                         329
5005              2.3883532E-4              1                         313
8791              2.3872362E-4              21                         322
1508              2.3839189E-4              59                         400
9729              2.3838112E-4              3                         21
6310              2.380533E-4              0                         179
9137              2.3721035E-4              58                         399
404              2.365813E-4              242                         30
7865              2.3639419E-4              1                         226
6007              2.363044E-4              5                         168
3447              2.3565789E-4              1                         3
8421              2.356129E-4              39                         86
10667              2.3542122E-4              804                         388
7941              2.3536243E-4              115                         166
4802              2.3456912E-4              984                         342
8910              2.3392883E-4              30                         272
8050              2.3379091E-4              1                         39
6624              2.3360574E-4              139                         236
9752              2.3281327E-4              57                         248
10694              2.3224176E-4              1                         15
1217              2.3175648E-4              39                         89
4064              2.315859E-4              18                         145
5675              2.3128129E-4              16                         225
4094              2.3127077E-4              615                         344
10256              2.3119229E-4              992                         481
8728              2.3112635E-4              29                         352
8727              2.3100752E-4              26                         277
4949              2.3007022E-4              48                         232
9380              2.2924335E-4              44                         328
5946              2.288892E-4              19                         104
10222              2.2888616E-4              36                         30
9663              2.285886E-4              645                         543
5126              2.2816093E-4              147                         211
9699              2.2794344E-4              147                         101
9955              2.2791041E-4              4                         20
5937              2.2789404E-4              51                         150
4632              2.2768836E-4              11                         442
4090              2.2714333E-4              96                         272
10086              2.2709626E-4              5                         178
7693              2.270838E-4              57                         272
9653              2.269245E-4              124                         181
8811              2.2639296E-4              164                         130
5550              2.2606543E-4              407                         281
5761              2.2575071E-4              18                         220
10493              2.252824E-4              5                         426
5693              2.2452908E-4              77                         360
4500              2.2417492E-4              222                         299
7463              2.2395475E-4              92                         267
7310              2.2367502E-4              102                         75
8596              2.2358686E-4              14                         231
825              2.2350681E-4              1                         15
7948              2.2249082E-4              191                         290
7346              2.220282E-4              0                         328
4233              2.2195984E-4              80                         248
8723              2.2192826E-4              1                         213
7854              2.2183878E-4              7                         390
4800              2.2180793E-4              44                         243
8100              2.2177954E-4              16                         224
9971              2.2124538E-4              86                         209
9608              2.2090696E-4              21                         290
10815              2.2053189E-4              15                         145
4954              2.1991286E-4              15                         160
862              2.1978765E-4              165                         399
7801              2.194661E-4              90                         234
10096              2.1940253E-4              134                         171
8364              2.1891927E-4              159                         408
5608              2.1874014E-4              375                         398
5373              2.185956E-4              405                         481
9156              2.1789053E-4              171                         216
9314              2.1745257E-4              120                         103
9598              2.171758E-4              14                         233
7624              2.1624756E-4              35                         320
10975              2.1607798E-4              246                         212
10521              2.1589067E-4              13                         276
5416              2.1467164E-4              60                         182
10010              2.1375252E-4              204                         272
8846              2.1363526E-4              1                         164
5341              2.1306289E-4              391                         339
11070              2.1284925E-4              358                         320
6403              2.1221266E-4              1                         396
7260              2.1209528E-4              1                         153
6595              2.1173792E-4              137                         249
