hostid              InversePageRank              outdegree              indegree
4698              7.645872E-4                         111                            48
11076              7.641864E-4                         574                            58
10186              7.627318E-4                         1164                            48
7960              7.6064013E-4                         104                            36
7091              7.5976446E-4                         1363                            738
4830              7.5851736E-4                         90                            18
3634              7.443101E-4                         1172                            23
2113              7.340696E-4                         130                            32
10578              7.32356E-4                         1389                            24
6313              7.306064E-4                         138                            62
10723              7.2882837E-4                         601                            59
4339              7.235395E-4                         165                            39
4269              6.8543904E-4                         265                            19
8450              6.815339E-4                         205                            30
3822              6.8116345E-4                         9                            62
8447              6.7589874E-4                         200                            23
4337              6.7427894E-4                         206                            71
6200              6.7328976E-4                         360                            29
3862              6.7182357E-4                         1268                            73
10686              6.6925446E-4                         295                            32
3248              6.6286075E-4                         41                            2
7620              6.525027E-4                         2                            6
11263              6.4631196E-4                         1017                            30
3002              6.4085907E-4                         427                            47
3158              6.246282E-4                         398                            8
8432              6.239398E-4                         198                            20
4264              6.2381534E-4                         199                            22
11396              6.212383E-4                         59                            27
8328              6.208587E-4                         563                            53
8774              6.205407E-4                         609                            88
9789              6.0997624E-4                         1070                            971
4271              6.0203404E-4                         192                            19
6108              5.938328E-4                         707                            90
9267              5.9072755E-4                         171                            18
10293              5.894652E-4                         111                            21
7264              5.8627967E-4                         517                            37
5615              5.839075E-4                         99                            19
5232              5.803567E-4                         197                            31
8532              5.774822E-4                         219                            31
5856              5.66758E-4                         105                            26
7992              5.650759E-4                         91                            21
7804              5.5666897E-4                         1090                            882
4511              5.518807E-4                         204                            14
2228              5.5175676E-4                         204                            31
10370              5.213713E-4                         1287                            4
5226              5.2093534E-4                         868                            16
2227              5.171327E-4                         162                            39
7447              5.152456E-4                         116                            19
7990              5.1346375E-4                         247                            21
7897              5.131865E-4                         36                            29
7970              5.120045E-4                         174                            26
7725              5.002474E-4                         327                            26
11219              4.993206E-4                         388                            34
9270              4.983288E-4                         15                            72
8392              4.9547234E-4                         121                            20
7980              4.9545773E-4                         171                            21
10289              4.930042E-4                         144                            42
7975              4.911903E-4                         195                            24
3590              4.9014017E-4                         1133                            574
9140              4.87961E-4                         128                            15
3956              4.7554908E-4                         865                            688
1010              4.7508892E-4                         168                            46
4895              4.7508892E-4                         168                            128
8443              4.7399182E-4                         123                            23
6202              4.7151223E-4                         688                            49
11243              4.7007878E-4                         1309                            1013
11094              4.6948774E-4                         912                            7
2224              4.680762E-4                         89                            36
9243              4.6423677E-4                         148                            12
8005              4.632011E-4                         157                            26
9738              4.6271455E-4                         388                            26
2726              4.581016E-4                         41                            27
10256              4.5442072E-4                         992                            481
1142              4.5403515E-4                         5                            30
8007              4.5115236E-4                         99                            19
8209              4.487446E-4                         296                            179
9792              4.400029E-4                         693                            229
10974              4.380418E-4                         129                            104
11264              4.3684882E-4                         91                            7
5044              4.3659066E-4                         928                            409
9494              4.287746E-4                         75                            36
9246              4.26876E-4                         54                            18
2733              4.2447587E-4                         122                            14
9821              4.2398754E-4                         18                            91
9449              4.2145894E-4                         66                            20
2878              4.171355E-4                         19                            26
5728              4.1634438E-4                         129                            14
9717              4.1569184E-4                         4                            17
9988              4.140315E-4                         109                            17
11269              4.1236356E-4                         254                            48
5653              4.1221912E-4                         196                            123
6529              4.1204348E-4                         4                            8
4094              4.1052792E-4                         615                            344
7822              4.0725493E-4                         955                            975
2938              4.0473466E-4                         686                            514
7294              4.046441E-4                         977                            603
10029              4.02282E-4                         263                            118
10102              4.020699E-4                         620                            442
2842              3.9751147E-4                         67                            24
7928              3.9458126E-4                         334                            20
10198              3.909573E-4                         877                            228
7744              3.887065E-4                         935                            685
7982              3.87725E-4                         92                            19
913              3.8508011E-4                         324                            45
3259              3.850558E-4                         382                            2
5604              3.836624E-4                         637                            48
5781              3.8352274E-4                         341                            196
2328              3.8290577E-4                         316                            40
3486              3.821567E-4                         316                            26
2773              3.8206147E-4                         313                            49
3001              3.8193772E-4                         311                            43
2945              3.8151655E-4                         306                            48
4802              3.7996552E-4                         984                            342
565              3.791425E-4                         304                            44
7665              3.7884532E-4                         1065                            562
11257              3.7871944E-4                         240                            26
4798              3.7749152E-4                         1046                            743
11364              3.774697E-4                         1046                            393
11401              3.7739013E-4                         309                            34
881              3.7683843E-4                         299                            39
220              3.768031E-4                         292                            35
3823              3.7661454E-4                         66                            24
11084              3.7657665E-4                         23                            10
3162              3.7652598E-4                         296                            36
1717              3.7641553E-4                         305                            31
3156              3.7575804E-4                         298                            33
3427              3.754718E-4                         309                            27
11395              3.7448146E-4                         297                            35
1906              3.741365E-4                         12                            2
9707              3.7329935E-4                         135                            77
10257              3.7163938E-4                         806                            112
309              3.7086106E-4                         314                            43
2333              3.7002773E-4                         307                            18
2690              3.6958331E-4                         453                            153
5907              3.6938052E-4                         98                            46
8666              3.6920558E-4                         412                            84
27              3.677886E-4                         315                            44
3549              3.677824E-4                         308                            44
3969              3.6725737E-4                         114                            44
7956              3.6661376E-4                         166                            27
3218              3.6653623E-4                         310                            57
2601              3.660949E-4                         296                            33
108              3.651184E-4                         110                            36
1506              3.644484E-4                         308                            43
5265              3.6440892E-4                         169                            26
540              3.6431145E-4                         317                            45
301              3.641491E-4                         309                            46
2977              3.6409756E-4                         310                            39
815              3.636584E-4                         312                            44
7661              3.587551E-4                         978                            800
10666              3.57981E-4                         874                            915
11160              3.5757784E-4                         1101                            160
7450              3.560176E-4                         107                            31
6349              3.559804E-4                         711                            492
2310              3.5278956E-4                         311                            40
2823              3.5106717E-4                         310                            45
1263              3.5105765E-4                         303                            42
351              3.5098725E-4                         310                            38
3250              3.5086076E-4                         649                            49
7579              3.4993756E-4                         258                            23
4504              3.4981282E-4                         926                            641
9273              3.4967787E-4                         933                            562
1801              3.491718E-4                         6                            10
6017              3.4888287E-4                         741                            675
2356              3.4769258E-4                         94                            27
10783              3.4259266E-4                         31                            198
6120              3.4164044E-4                         256                            54
3458              3.3655966E-4                         288                            43
7965              3.3445467E-4                         60                            33
990              3.3405682E-4                         862                            532
6201              3.3387996E-4                         374                            82
4860              3.331562E-4                         859                            329
4955              3.3231202E-4                         735                            20
7979              3.3172223E-4                         58                            10
3875              3.274922E-4                         391                            499
10025              3.2061082E-4                         928                            791
2737              3.181516E-4                         97                            18
1649              3.1516948E-4                         986                            281
3889              3.147147E-4                         2                            10
10241              3.139708E-4                         820                            574
9900              3.1360795E-4                         307                            17
8062              3.1157126E-4                         785                            336
3861              3.0855427E-4                         384                            111
2832              3.0801303E-4                         11                            15
6191              3.0711852E-4                         204                            63
10796              3.0593557E-4                         326                            243
965              3.0528285E-4                         224                            34
10760              3.0187648E-4                         588                            408
7672              3.0039749E-4                         891                            341
4686              2.9986544E-4                         127                            8
3190              2.9946555E-4                         14                            106
10632              2.9892902E-4                         395                            19
4844              2.9732144E-4                         742                            667
546              2.9633488E-4                         49                            26
6788              2.9352502E-4                         498                            595
4280              2.8979717E-4                         79                            42
10667              2.897095E-4                         804                            388
2809              2.8863963E-4                         218                            42
7989              2.878762E-4                         357                            13
2866              2.876148E-4                         57                            25
6011              2.8633044E-4                         737                            588
7943              2.8501442E-4                         904                            242
10802              2.8338854E-4                         779                            55
4525              2.811946E-4                         606                            439
5550              2.8058828E-4                         407                            281
11027              2.800942E-4                         1                            7
6306              2.7949808E-4                         364                            61
7984              2.7908914E-4                         41                            28
7944              2.786681E-4                         903                            64
9338              2.7698863E-4                         677                            535
7009              2.7677792E-4                         744                            484
5180              2.7616436E-4                         577                            663
9663              2.7492826E-4                         645                            543
2958              2.7413803E-4                         995                            1776
2442              2.7409E-4                         406                            107
2693              2.738677E-4                         262                            49
7740              2.7358573E-4                         379                            190
10892              2.7252242E-4                         847                            466
3961              2.7232064E-4                         569                            468
7886              2.6954422E-4                         470                            49
7996              2.688531E-4                         35                            27
2935              2.6820612E-4                         740                            503
5712              2.6787614E-4                         190                            6
3553              2.6651798E-4                         677                            38
5895              2.658628E-4                         6                            2
6789              2.6545912E-4                         488                            9
6937              2.6475283E-4                         705                            347
7615              2.6434715E-4                         428                            693
9730              2.6386144E-4                         69                            77
4303              2.621377E-4                         526                            297
4520              2.6176506E-4                         885                            2750
4364              2.61485E-4                         11                            8
6843              2.592276E-4                         796                            654
11223              2.5625576E-4                         27                            25
10002              2.5554292E-4                         597                            202
4266              2.5537633E-4                         130                            20
2742              2.5510768E-4                         180                            45
10023              2.546073E-4                         526                            619
8143              2.540294E-4                         498                            115
5774              2.504337E-4                         488                            274
9287              2.4907608E-4                         606                            248
2344              2.4897093E-4                         2                            22
1998              2.4886001E-4                         820                            880
10672              2.4837125E-4                         783                            579
11360              2.4685383E-4                         508                            3
3784              2.4651716E-4                         476                            241
6786              2.4601308E-4                         5                            58
6665              2.4536578E-4                         1                            32
11295              2.4536578E-4                         1                            41
4751              2.4533822E-4                         181                            229
3211              2.4476962E-4                         164                            36
10328              2.4333807E-4                         408                            157
1748              2.4225676E-4                         184                            43
9639              2.4222839E-4                         732                            41
4672              2.4148164E-4                         720                            1066
3104              2.3950767E-4                         712                            261
10886              2.3896976E-4                         654                            399
10724              2.3887107E-4                         798                            148
7066              2.3838347E-4                         83                            26
5023              2.3694664E-4                         172                            15
7793              2.3651418E-4                         686                            689
11040              2.3507752E-4                         91                            41
7955              2.3438431E-4                         188                            22
3584              2.3388295E-4                         601                            140
3269              2.3213273E-4                         290                            21
2707              2.3148136E-4                         276                            9
8251              2.3061679E-4                         681                            394
3219              2.2998327E-4                         149                            43
7876              2.2885516E-4                         558                            164
499              2.2787797E-4                         588                            299
7419              2.2692244E-4                         35                            18
2445              2.2671699E-4                         394                            172
7966              2.261921E-4                         110                            18
7885              2.253889E-4                         349                            117
718              2.2526755E-4                         34                            23
7696              2.2472594E-4                         645                            353
3647              2.2290276E-4                         501                            78
7334              2.2167183E-4                         425                            80
9150              2.215456E-4                         50                            34
2999              2.2154044E-4                         434                            398
5655              2.2135515E-4                         371                            321
2976              2.205618E-4                         431                            233
7287              2.2027128E-4                         466                            315
2646              2.1953868E-4                         758                            1
7918              2.1896501E-4                         312                            152
8101              2.1817227E-4                         655                            728
10682              2.1791375E-4                         596                            58
7993              2.1784918E-4                         63                            14
8598              2.1749231E-4                         618                            677
7988              2.1723441E-4                         76                            27
7610              2.1598328E-4                         258                            25
7010              2.1485989E-4                         556                            120
5151              2.1458426E-4                         411                            151
7973              2.1426904E-4                         69                            23
686              2.1404153E-4                         151                            43
2830              2.1388198E-4                         185                            40
8543              2.1372315E-4                         17                            67
4795              2.1351372E-4                         467                            332
10884              2.1322203E-4                         541                            662
5373              2.1259509E-4                         405                            481
10180              2.1195953E-4                         572                            514
10968              2.1143627E-4                         519                            446
4545              2.1138694E-4                         204                            53
5649              2.0997743E-4                         367                            276
7335              2.0992658E-4                         421                            180
5243              2.086927E-4                         60                            76
4306              2.0859897E-4                         590                            400
2460              2.0753108E-4                         499                            92
5668              2.0733007E-4                         454                            282
10342              2.0651749E-4                         612                            213
8364              2.0651244E-4                         159                            408
7605              2.0637664E-4                         432                            734
3054              2.061865E-4                         140                            41
7991              2.0598978E-4                         68                            26
