id out in
1039 4 36
1040 0 0
1041 0 1
1042 0 0
1043 0 7
1044 11 13
1045 0 8
1046 0 2
1047 13 12
1048 0 2
1049 0 5
1050 0 3
1051 0 4
1052 1 2
1053 0 1
1054 70 202
1055 70 18
1056 1 5
1057 5 3
1058 0 6
1059 0 4
1060 27 27
1061 0 20
1062 1 1
1063 1 2
1064 1 1
1065 2 11
1066 3 10
1067 2 3
1068 1 3
1069 24 6
1070 0 5
1071 4 8
1072 1 5
1073 1 1
1074 0 4
1075 1 4
1076 1 0
1077 158 78
1078 1 4
1079 9 28
1080 0 1
1081 0 10
1082 2 0
1083 0 8
1084 111 70
1085 0 6
1086 1 5
1087 2 1
1088 1 0
1089 0 3
1090 13 19
1091 0 4
1092 35 35
1093 1 6
1094 0 3
1095 6 1
1096 0 0
1097 0 4
1098 18 44
1099 283 35
1100 1 24
1101 23 3
1102 60 14
1103 15 27
1104 2 1
1105 763 44
1106 0 4
1107 16 33
1108 1 4
1109 1 2
1110 0 4
1111 1 2
1112 31 38
1113 8 7
1114 0 8
1115 51 1
1116 29 23
1117 10 1
1118 35 19
1119 64 17
1120 1 46
1121 0 2
1122 4 6
1123 1 4
1124 0 2
1125 1 4
1126 1 2
1127 1 28
1128 7 10
1129 2 0
1130 1 14
1131 1 42
1132 2 4
1133 1 9
1134 1 9
1135 0 5
1136 1 8
1137 34 34
1138 0 1
1139 0 0
1140 0 9
1141 0 2
1142 5 30
1143 1 32
1144 0 2
1145 0 4
1146 0 3
1147 0 11
1148 316 67
1149 1 188
1150 1 7
1151 1 6
1152 1 33
1153 1 80
1154 2 6
1155 1 12
1156 0 22
1157 0 15
1158 2 2
1159 0 2
1160 0 4
1161 0 2
1162 3 8
1163 4 4
1164 1 2
1165 1 3
1166 0 0
1167 0 9
1168 1 0
1169 0 4
1170 0 3
1171 0 16
1172 3 9
1173 1 6
1174 4 1
1175 0 4
1176 0 5
1177 1 6
1178 8 16
1179 2 8
1180 0 5
1181 1 1
1182 4 5
1183 0 5
1184 4 10
1185 0 1
1186 8 67
1187 7 3
1188 85 83
1189 25 15
1190 0 4
1191 6 10
1192 4 5
1193 3 20
1194 0 16
1195 0 2
1196 2 8
1197 14 11
1198 0 10
1199 64 20
1200 37 161
1201 2 7
1202 18 25
1203 5 12
1204 0 1
1205 4 11
1206 0 0
1207 3 6
1208 59 98
1209 16 25
1210 1 2
1211 11 11
1212 14 5
1213 0 1
1214 0 6
1215 0 1
1216 4 6
1217 39 89
1218 539 1
1219 1 8
1220 2 3
1221 2 1
1222 9 131
1223 62 73
1224 0 0
1225 13 12
1226 1 4
1227 197 7
1228 3 8
1229 4 7
1230 6 10
1231 0 9
1232 273 22
1233 0 3
1234 0 0
1235 30 30
1236 0 1
1237 1 2
1238 1 0
1239 0 12
1240 2 1
1241 0 6
1242 5 1
1243 0 1
1244 0 3
1245 1 5
1246 1 0
1247 0 3
1248 1 6
1249 0 8
1250 80 4
1251 6 2
1252 0 0
1253 0 0
1254 1 1
1255 0 1
1256 1 1
1257 182 13
1258 0 12
1259 22 9
1260 14 16
1261 1 22
1262 1 2
1263 303 42
1264 0 1
1265 1 3
1266 0 27
1267 0 2
1268 0 1
1269 0 2
1270 25 6
1271 0 5
1272 0 1
1273 0 1
1274 0 1
1275 1 8
1276 18 22
1277 1 0
1278 0 1
1279 21 22
1280 19 1
1281 0 3
1282 1 4
1283 0 3
1284 0 1
1285 5 2
1286 0 0
1287 0 8
1288 0 14
1289 47 10
1290 3 7
1291 0 3
1292 10 15
1293 0 7
1294 2 3
1295 0 2
1296 0 7
1297 0 0
1298 1 0
1299 1 1
1300 0 1
1301 1 2
1302 1 5
1303 0 2
1304 2 4
1305 15 8
1306 0 5
1307 5 12
1308 0 1
1309 0 3
1310 0 2
1311 3 18
1312 1 10
1313 2 9
1314 1 9
1315 19 7
1316 6 29
1317 0 1
1318 2 12
1319 0 9
1320 0 4
1321 28 19
1322 58 42
1323 5 1
1324 2 1
1325 0 4
1326 0 4
1327 0 1
1328 0 0
1329 0 2
1330 5 3
1331 0 1
1332 0 2
1333 0 4
1334 0 4
1335 1 5
1336 8 3
1337 14 5
1338 0 3
1339 8 12
1340 1 0
1341 4 8
1342 0 9
1343 1 5
1344 0 0
1345 20 20
1346 0 4
1347 0 1
1348 0 1
1349 1 4
1350 0 2
1351 0 0
1352 0 2
1353 6 9
1354 0 3
1355 36 15
1356 23 14
1357 1 0
1358 25 5
1359 0 9
1360 0 1
1361 1 3
1362 0 3
1363 0 1
1364 1 10
1365 0 13
1366 0 3
1367 36 49
1368 0 0
1369 0 4
1370 0 5
1371 13 3
1372 11 1
1373 13 2
1374 7 34
1375 11 1
1376 32 31
1377 41 33
1378 2 0
1379 0 1
1380 0 4
1381 34 22
1382 5 6
1383 5 3
1384 0 1
1385 8 58
1386 14 59
1387 6 21
1388 0 4
1389 0 0
1390 1 1
1391 1 2
1392 63 12
1393 0 2
1394 2 14
1395 3 8
1396 82 35
1397 33 20
1398 113 8
1399 23 28
1400 0 1
1401 6 10
1402 0 2
1403 33 33
1404 2 10
1405 6 0
1406 0 4
1407 4 2
1408 19 7
1409 1 4
1410 2 31
1411 2 4
1412 0 93
1413 1 123
1414 1 53
1415 1 2
1416 1 1
1417 13 3
1418 11 1
1419 14 1
1420 0 3
1421 0 31
1422 0 0
1423 1 1
1424 0 4
1425 7 7
1426 2 2
1427 1 69
1428 0 3
1429 10 14
1430 13 2
1431 13 1
1432 16 2
1433 7 32
1434 2 35
1435 1 4
1436 0 2
1437 1 15
1438 5 5
1439 0 3
1440 0 1
1441 29 29
1442 0 4
1443 33 33
1444 0 4
1445 0 1
1446 2 3
1447 20 20
1448 10 148
1449 33 40
1450 143 36
1451 0 1
1452 1 1
1453 75 19
1454 50 51
1455 2 25
1456 4 84
1457 56 3
1458 150 56
1459 283 4
1460 11 4
1461 0 7
1462 2 35
1463 43 3
1464 8 17
1465 26 13
1466 14 30
1467 0 1
1468 4 37
1469 0 7
1470 13 2
1471 1 7
1472 13 1
1473 0 0
1474 15 10
1475 13 33
1476 3 5
1477 11 135
1478 1 10
1479 0 1
1480 1 5
1481 0 3
1482 0 11
1483 21 20
1484 1 8
1485 18 22
1486 1 0
1487 5 0
1488 0 4
1489 501 1
1490 1 2
1491 0 6
1492 0 16
1493 4 12
1494 32 21
1495 6 6
1496 0 5
1497 2 0
1498 0 0
1499 0 2
1500 1 0
1501 0 0
1502 0 1
1503 0 2
1504 0 0
1505 0 8
1506 308 43
1507 0 4
1508 59 400
1509 1 4
1510 7 7
1511 0 9
1512 2 0
1513 0 4
1514 1 8
1515 0 9
1516 0 8
1517 1 5
1518 1 1
1519 5 1
1520 0 3
1521 0 0
1522 107 15
1523 0 4
1524 1 1
1525 0 3
1526 10 18
1527 21 19
1528 17 33
1529 0 4
1530 52 53
1531 1 2
1532 1 2
1533 1 8
1534 5 2
1535 1 0
1536 2 1
1537 6 11
1538 3 17
1539 9 5
1540 76 26
1541 3 13
1542 2 7
1543 0 0
1544 5 13
1545 0 3
1546 0 0
1547 0 6
1548 0 3
1549 10 2
1550 1 0
1551 0 0
1552 3 4
1553 1 0
1554 2 5
1555 72 16
1556 130 16
1557 6 17
1558 37 9
1559 0 5
1560 1 2
1561 13 3
1562 10 1
1563 13 1
1564 0 3
1565 0 7
1566 0 4
1567 2 2
1568 2 2
1569 2 5
1570 1 15
1571 1 0
1572 22 22
1573 0 0
1574 0 1
1575 0 0
1576 0 2
1577 0 0
1578 0 22
1579 82 35
1580 2 11
1581 1 1
1582 0 1
1583 93 18
1584 20 21
1585 0 7
1586 0 4
1587 40 30
1588 0 1
1589 1 2
1590 0 1
1591 21 21
1592 0 0
1593 1 1
1594 1 4
1595 0 1
1596 1 7
1597 0 1
1598 1 5
1599 1 4
1600 1 1
1601 1 2
1602 2 0
1603 0 4
1604 0 10
1605 0 5
1606 0 1
1607 1 9
1608 56 12
1609 1 10
1610 7 1
1611 0 3
1612 4 8
1613 1 5
1614 0 5
1615 0 5
1616 27 9
1617 1 3
1618 24 25
1619 117 136
1620 5 1
1621 39 46
1622 63 27
1623 0 5
1624 0 3
1625 0 6
1626 2 1
1627 0 6
1628 2 5
1629 0 0
1630 0 19
1631 0 3
1632 0 2
1633 0 5
1634 1 7
1635 1 1
1636 0 6
1637 0 2
1638 0 2
1639 0 9
1640 0 5
1641 52 108
1642 1 6
1643 0 5
1644 8 2
1645 1 5
1646 1 3
1647 0 4
1648 0 2
1649 986 281
1650 1 0
1651 1 1
1652 0 8
1653 29 3
1654 0 0
1655 3 8
1656 0 6
1657 0 2
1658 0 1
1659 0 4
1660 1 3
1661 0 1
1662 0 2
1663 10 14
1664 0 0
1665 0 7
1666 0 10
1667 15 1
1668 82 1
1669 94 60
1670 1 3
1671 1 0
1672 0 3
1673 0 0
1674 1 5
1675 1 2
1676 0 14
1677 0 3
1678 3 6
1679 0 0
1680 0 1
1681 11 4
1682 1 6
1683 10 8
1684 1 0
1685 0 17
1686 144 93
1687 1 13
1688 6 16
1689 1 26
1690 3062 21
1691 2 3
1692 0 1
1693 0 4
1694 0 4
1695 0 2
1696 0 2
1697 2 1
1698 0 16
1699 0 5
1700 0 8
1701 6 4
1702 0 0
1703 0 0
1704 0 0
1705 0 2
1706 10 9
1707 11 12
1708 256 105
1709 7 10
1710 0 3
1711 1 1
1712 3 4
1713 0 5
1714 13 12
1715 0 1
1716 7 12
1717 305 31
1718 0 1
1719 0 2
1720 0 119
1721 2 10
1722 0 1
1723 4 15
1724 0 2
1725 24 22
1726 0 3
1727 98 54
1728 1 1
1729 0 1
1730 30 4
1731 1 5
1732 0 0
1733 0 0
1734 0 0
1735 0 1
1736 2 1
1737 33 33
1738 4 64
1739 0 1
1740 1 6
1741 1 1
1742 1 8
1743 39 34
1744 64 48
1745 0 0
1746 5 6
1747 0 2
1748 184 43
1749 21 20
1750 4 4
1751 0 0
1752 1 0
1753 1 7
1754 2 8
1755 2 16
1756 33 37
1757 1 11
1758 1 6
1759 4 0
1760 2 13
1761 1 25
1762 0 0
1763 21 19
1764 0 4
1765 0 1
1766 2 6
1767 2 6
1768 1 6
1769 7 4
1770 0 1
1771 4 4
1772 1 5
1773 0 2
1774 0 3
1775 0 0
1776 1 1
1777 5 73
1778 0 0
1779 0 3
1780 6 6
1781 0 18
1782 3 10
1783 0 5
1784 0 0
1785 10 12
1786 1 2
1787 0 0
1788 69 4
1789 16 8
1790 0 11
1791 1 12
1792 1 33
1793 2275 61
1794 1 4
1795 3165 0
1796 1 9
1797 5 24
1798 0 1
1799 42 35
1800 4 22
1801 6 10
1802 0 14
1803 0 5
1804 1 9
1805 0 3
1806 6 4
1807 6 10
1808 77 15
1809 6 10
1810 0 6
1811 6 11
1812 0 13
1813 2 20
1814 0 3
1815 0 1
1816 4 18
1817 5 6
1818 1 5
1819 1 0
1820 0 1
1821 121 37
1822 0 1
1823 2 18
1824 13 30
1825 0 11
1826 1 13
1827 0 3
1828 0 5
1829 0 0
1830 0 8
1831 0 6
1832 0 4
1833 23 7
1834 1 7
1835 0 3
1836 18 15
1837 2 1
1838 3 6
1839 0 3
1840 2 2
1841 2 2
1842 0 34
1843 0 1
1844 0 1
1845 11 5
1846 9 2
1847 13 1
1848 1 0
1849 0 8
1850 0 5
1851 0 16
1852 1 5
1853 0 2
1854 3 1
1855 86 29
1856 1 1
1857 0 5
1858 11 12
1859 10 4
1860 0 2
1861 0 0
1862 0 1
1863 2 3
1864 1 0
1865 19 9
1866 1 2
1867 0 12
1868 1 45
1869 13 52
1870 0 2
1871 13 42
1872 0 3
1873 16 14
1874 0 6
1875 1 38
1876 36 7
1877 0 5
1878 33 32
1879 3 4
1880 1 1
1881 0 1
1882 12 28
1883 1 1
1884 3 3
1885 0 1
1886 0 3
1887 2 14
1888 0 2
1889 0 6
1890 0 3
1891 0 0
1892 524 3
1893 1 4
1894 20 6
1895 1 14
1896 0 0
1897 0 3
1898 0 0
1899 1 3
1900 1 0
1901 1 9
1902 0 3
1903 3 0
1904 2 4
1905 20 28
1906 12 2
1907 13 2
1908 12 2
1909 13 1
1910 4 9
1911 8 15
1912 5 21
1913 2 20
1914 22 11
1915 14 10
1916 0 1
1917 0 2
1918 1 4
1919 0 10
1920 1 53
1921 0 3
1922 1 3
1923 2 5
1924 0 5
1925 34 27
1926 1 0
1927 0 4
1928 7 10
1929 0 3
1930 8 7
1931 2 3
1932 22 19
1933 0 1
1934 0 2
1935 1 5
1936 114 114
1937 0 1
1938 4 51
1939 4 0
1940 11 4
1941 4 19
1942 0 3
1943 1 1
1944 1 3
1945 1 0
1946 1 2
1947 0 0
1948 1 7
1949 0 3
1950 0 20
1951 0 63
1952 262 373
1953 0 1
1954 1 10
1955 0 10
1956 1 26
1957 34 30
1958 0 3
1959 0 4
1960 2 7
1961 15 45
1962 0 9
1963 0 1
1964 29 19
1965 77 71
1966 231 70
1967 127 41
1968 1 3
1969 21 3
1970 0 0
1971 1 6
1972 0 4
1973 11 4
1974 0 6
1975 2 8
1976 133 335
1977 131 228
1978 0 2
1979 16 14
1980 0 0
1981 1 12
1982 5 3
1983 1 1
1984 0 1
1985 13 7
1986 0 0
1987 5 4
1988 1 1
1989 2 40
1990 1 56
1991 4 3
1992 0 2
1993 18 11
1994 28 16
1995 361 13
1996 26 20
1997 26 9
1998 820 880
1999 230 285
2000 8 26
2001 2 12
2002 52 15
2003 66 15
2004 0 15
2005 223 49
2006 1 0
2007 0 0
2008 0 2
2009 0 8
2010 0 0
2011 1 12
2012 2 3
2013 1 0
2014 0 0
2015 14 66
2016 1 5
2017 1 4
2018 1 1
2019 1 1
2020 2 3
2021 1 1
2022 1 2
2023 27 9
2024 1 3
2025 0 5
2026 0 8
2027 0 2
2028 2 7
2029 147 79
2030 2 2
2031 1 0
2032 3 5
2033 0 0
2034 1 2
2035 0 0
2036 2 4
2037 0 1
2038 3 4
2039 1 23
2040 13 26
2041 13 2
2042 8 16
2043 4 61
2044 10 1
2045 14 1
2046 7 18
2047 1 3
2048 0 4
2049 1 211
2050 0 0
2051 2 1
2052 1 6
2053 1 1
2054 0 2
2055 0 4
2056 1 1
2057 1 0
2058 0 1
2059 0 10
2060 0 0
2061 1 1
2062 0 5
2063 43 40
2064 27 29
2065 2 57
2066 1 6
2067 0 0
2068 0 7
2069 32 3
2070 0 8
2071 1 2
2072 0 0
2073 0 3
2074 0 1
2075 9 8
2076 0 1
2077 1 3
2078 1 5
2079 2 8
2080 16 4
2081 4 7
2082 215 175
2083 4701 40
2084 2 4
2085 0 2
2086 1 4
2087 0 2
2088 1 1
2089 42 229
2090 1 0
2091 9 25
2092 1 3
2093 7 3
2094 1 4
2095 0 1
2096 436 37
2097 1 3
2098 35 25
2099 34 15
2100 2 1
2101 1 0
2102 163 11
2103 0 0
2104 34 117
2105 55 67
2106 5 7
2107 88 60
2108 18 22
2109 16 25
2110 0 10
2111 0 4
2112 0 2
2113 130 32
2114 2 15
2115 0 4
2116 1 1
2117 2 4
2118 13 12
2119 98 12
2120 0 6
2121 0 2
2122 0 0
2123 0 0
2124 1 1
2125 1 8
2126 0 5
2127 2 8
2128 3 3
2129 0 13
2130 13 1
2131 0 3
2132 0 38
2133 0 3
2134 5 8
2135 1 56
2136 16 9
2137 0 0
2138 2 2
2139 0 12
2140 0 16
